,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,hermanus,78,ZA,1567556512,95,-34.42,19.24,55.99,2.33
1,mataura,100,NZ,1567556514,87,-46.19,168.86,52.0,1.01
2,ostersund,0,SE,1567556515,87,63.18,14.64,43.0,5.82
3,hilo,1,US,1567556516,55,19.71,-155.08,87.8,12.75
4,pisco,0,PE,1567556518,30,-13.71,-76.2,71.6,13.87
5,trofors,100,NO,1567556519,87,65.54,13.39,50.0,14.99
6,talnakh,75,RU,1567556520,100,69.49,88.39,44.6,6.71
7,castro,0,CL,1567556522,70,-42.48,-73.76,44.6,6.93
8,thompson,90,CA,1567556523,87,55.74,-97.86,51.8,11.41
9,vaini,100,IN,1567556524,94,15.34,74.49,75.82,4.09
10,tuktoyaktuk,20,CA,1567556526,62,69.44,-133.03,53.6,12.75
11,hobyo,4,SO,1567556527,79,5.35,48.53,76.9,24.67
12,hadejia,64,NG,1567556529,49,12.45,10.04,83.56,7.52
13,rawson,67,AR,1567556530,73,-43.3,-65.11,34.06,18.75
14,port blair,75,IN,1567556531,88,11.67,92.75,80.6,11.41
15,macusani,95,PE,1567556533,86,-14.07,-70.43,34.78,7.36
16,meulaboh,100,ID,1567556534,82,4.14,96.13,79.96,9.69
17,busselton,25,AU,1567556535,58,-33.64,115.35,52.0,26.11
18,pocone,65,BR,1567556537,54,-16.26,-56.62,83.02,6.2
19,beloha,0,MG,1567556538,90,-25.17,45.06,59.26,7.11
20,ushuaia,40,AR,1567556539,69,-54.81,-68.31,35.6,20.8
21,morros,75,BR,1567556541,78,-2.87,-44.04,80.6,13.87
22,avera,1,US,1567556542,61,33.19,-82.53,89.6,4.7
23,new norfolk,75,AU,1567556543,58,-42.78,147.06,55.4,12.75
24,kasongo-lunda,50,CD,1567556545,90,-6.48,16.82,69.34,2.71
25,sao miguel do tapuio,14,BR,1567556546,47,-5.5,-41.32,83.92,9.37
26,albany,20,US,1567556537,68,42.65,-73.75,71.6,4.7
27,bluff,95,AU,1567556549,18,-23.58,149.07,77.62,1.36
28,quelimane,20,MZ,1567556550,78,-17.88,36.89,71.6,3.36
29,hobart,75,AU,1567556291,58,-42.88,147.33,55.4,12.75
30,sao filipe,83,CV,1567556553,86,14.9,-24.5,80.86,6.6
31,keti bandar,99,PK,1567556554,85,24.14,67.45,83.2,17.31
32,saint-pierre,0,FR,1567556555,82,48.95,4.24,55.4,4.7
33,inawayan,75,PH,1567556557,88,6.96,125.47,77.0,1.99
